11,1,39,16.80,70,5.20,5.35,5.45,6.00,6.10,6.25,6.35,6.50,7.00,7.10,7.20,7.30,7.45,7.55,8.10,8.20,8.35,8.45,9.00,9.15,9.30,9.45,10.00,10.15,10.25,10.50,11.00,11.15,11.25,11.40,11.50,12.10,12.25,12.35,12.50,1.00,1.10,1.25,1.35,1.50,2.00,2.10,2.40,2.55,3.10,3.25,3.40,3.55,4.10,4.25,4.55,5.10,5.25,5.40,5.55,6.10,6.25,6.40,6.55,7.10,7.20,7.30,7.40,8.00,8.10,8.25,8.40,8.55,9.10,9.25,9.40,9.55,10.10,10.25,10.35,,,,,,,,,,,,,,,
11,2,39,16.80,70,6.20,6.35,6.50,7.10,7.20,7.35,7.45,8.00,8.10,8.20,8.30,8.40,8.55,9.05,9.20,9.30,9.45,9.55,10.10,10.25,10.40,10.55,11.10,11.25,11.35,12.00,12.10,12.25,12.35,12.50,1.00,1.20,1.35,1.45,2.00,2.10,2.20,2.35,2.45,3.00,3.10,3.20,3.50,4.05,4.20,4.35,4.50,5.05,5.20,5.35,6.05,6.20,6.35,6.50,7.05,7.2,7.35,7.50,8.05,8.20,8.30,8.40,8.50,9.05,9.15,9.30,9.45,10.00,10.15,10.30,10.45,11.00,11.15,11.30,11.40,,,,,,,,,,,,,,,
13,1,20,7.70,40,5.55,6.10,6.25,6.40,7.00,7.15,7.30,7.45,8.00,8.15,8.35,8.50,9.05,9.20,9.40,9.55,10.10,10.25,10.40,11.00,11.45,12.00,12.15,12.30,12.50,2.25,2.40,2.55,3.10,3.25,3.55,4.10,4.25,4.40,4.50,5.25,5.40,5.55,6.10,6.25,7.25,7.40,7.55,8.10,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,20,7.70,40,6.35,6.50,7.05,7.20,7.40,7.55,8.10,8.25,8.40,8.55,9.15,9.30,9.45,10.00,10.20,10.35,10.50,11.05,11.20,11.40,12.25,12.25,12.55,1.10,1.25,1.40,1.55,2.10,2.25,2.40,3.10,3.25,3.40,3.55,4.10,4.40,4.55,5.10,5.25,5.40,6.10,6.25,6.40,6.55,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,19,7.60,45,6.00,6.30,7.00,7.30,8.00,8.30,9.00,9.30,10.00,10.30,11.30,12.00,12.30,1.00,1.30,2.00,2.30,3.00,3.30,4.00,4.30,5.00,5.30,6.00,6.30,7.00,8.30,9.00,9.30,10.00,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,19,7.60,45,6.45,7.15,7.45,8.15,8.45,9.15,9.45,10.15,10.45,11.15,12.15,12.45,1.15,1.45,2.15,2.45,3.15,3.45,4.15,4.45,5.15,5.45,6.15,6.45,7.15,7.45,9.15,9.45,10.15,10.45,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,33,15.70,65,6.00,6.35,7.10,7.45,8.10,8.45,9.20,9.55,11.00,11.35,12.10,12.45,1.10,1.45,2.20,2.55,3.25,4.00,4.35,5.10,5.35,6.10,6.45,7.20,7.55,8.30,9.05,9.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,33,15.70,65,7.05,7.40,8.15,8.50,9.20,9.55,10.30,11.05,12.05,12.40,1.15,1.40,2.15,2.50,3.25,4.00,4.30,5.05,5.40,6.15,6.45,7.20,7.55,8.30,9.35,10.10,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,54,28.00,90,5.40,6.20,7.00,7.40,8.30,9.00,9.45,10.30,11.50,12.30,1.15,2.00,3.10,4.00,4.50,5.40,6.45,7.35,8.25,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,54,28.00,90,7.00,7.40,8.20,9.05,9.50,10.30,11.15,12.00,1.15,1.55,2.40,3.20,4.40,5.30,6.20,7.15,8.30,9.10,10.00,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,42,17.80,70,6.00,6.45,7.30,8.20,9.05,9.50,11.20,12.05,12.50,1.45,2.35,3.25,4.45,5.35,6.25,7.15,8.05,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,42,17.80,70,7.10,7.55,8.40,9.35,10.20,11.05,12.35,1.20,2.05,3.00,3.50,4.40,6.00,6.50,7.40,8.30,9.20,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,33,14.60,70,5.40,6.05,6.30,6.55,7.20,7.40,8.05,8.30,8.55,9.20,10.20,10.45,11.10,11.35,12.00,12.30,12.55,1.20,1.45,2.10,2.50,3.15,3.45,4.10,4.40,5.10,5.35,6.05,6.30,7.00,8.00,8.25,8.55,9.20,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,33,14.60,70,6.40,7.05,7.30,7.55,8.20,8.45,9.10,9.35,10.00,10.25,11.25,11.50,12.15,12.40,1.05,1.35,2.00,2.25,2.50,3.10,4.00,4.25,4.55,5.20,5.50,6.20,6.45,7.15,7.40,8.10,9.10,9.35,10.05,10.30,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,36,16.00,70,9.00,11.50,2.10,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2,36,16.00,70,10.10,1.00,3.25,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,54,29.10,90,5.20,8.30,2.15,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,54,29.10,90,6.40,10.00,3.45,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,57,31.60,90,5.40,6.50,8.20,9.30,11.50,1.00,2.35,4.10,6.05,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2,57,31.60,90,6.45,8.00,9.45,11.00,1.15,2.25,4.05,5.40,7.35,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,38,14.20,70,6.20,7.05,7.55,8.35,9.20,10.15,11.25,12.10,1.10,2.45,3.30,4.15,5.35,6.20,7.05,7.55,8.40,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,38,14.20,70,7.25,8.10,9.05,9.45,10.30,11.25,12.25,1.20,2.20,3.55,4.40,5.25,6.45,7.30,8.15,9.05,9.50,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,25,11.70,45,5.30,5.40,5.50,6.00,6.10,6.20,6.30,6.40,6.50,7.00,7.10,7.20,7.30,7.40,7.50,8.00,8.10,8.20,8.30,8.40,8.50,9.00,9.10,9.20,9.30,9.40,9.50,10.00,10.10,10.20,10.30,10.40,10.50,11.20,11.35,11.40,12.00,12.10,12.20,12.30,12.40,12.50,1.00,1.10,1.20,1.30,1.40,1.50,2.00,2.10,2.20,2.30,2.40,2.50,3.00,3.10,3.20,3.30,3.40,3.50,4.00,4.10,4.20,4.30,4.40,4.50,5.00,5.10,5.20,5.30,5.40,5.50,6.00,6.10,6.20,6.30,6.40,6.50,7.00,7.20,7.40,8.00,8.10,8.20,8.30,8.40,8.50,9.00,9.10,9.20
140,2,25,11.70,45,6.15,6.25,6.35,6.45,6.55,7.05,7.15,7.25,7.35,7.45,7.55,8.05,8.25,8.35,8.45,8.55,9.05,9.15,9.25,9.35,9.45,9.55,10.05,10.35,10.50,10.55,11.15,11.25,11.35,11.45,11.55,12.05,12.15,12.25,12.35,12.45,12.55,1.05,1.15,1.25,1.35,1.45,1.55,2.05,2.15,2.25,2.35,2.45,2.55,3.05,3.15,3.25,3.35,3.45,3.55,4.05,4.15,4.25,4.35,4.45,4.55,5.05,5.15,5.25,5.35,5.45,5.55,6.05,6.15,6.35,6.55,7.15,7.25,7.35,7.45,7.55,8.05,8.15,8.25,8.35,8.45,8.55,9.05,9.15,9.25,9.35,9.45,9.55,10.05,10.20
227,1,62,33.50,90,5.45,8.30,2.55,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2,62,33.50,90,6.50,9.55,4.25,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1,66,34.90,90,5.25,6.20,7.20,8.00,9.00,10.00,11.30,12.30,1.30,3.30,4.40,5.40,7.05,8.05,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2,66,34.90,90,6.35,7.30,8.30,9.35,10.30,11.30,1.00,1.55,2.55,5.00,6.10,7.10,8.30,9.35,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
