121,1,30,17.1,50,6.20,8.00,9.40,11.50,13.30,15.10,16.50,18.30,20.10,22.25,,,
121,1,30,17.1,50,6.30,8.10,9.50,12.00,13.40,15.20,17.00,18.40,20.20,22.35,,,
121,1,30,17.1,50,6.40,8.20,10.00,12.10,13.50,15.30,17.10,18.50,20.30,22.45,,,
121,1,30,17.1,50,6.50,8.30,10.10,10.20,14.00,15.40,17.20,19.00,20.40,23.00,,,
121,2,30,17.1,50,5.30,7.10,8.50,11.00,12.40,14.20,16.00,17.40,19.20,21.30,,,
121,2,30,17.1,50,5.40,7.20,9.00,11.10,12.50,14.30,16.10,17.50,19.30,21.40,,,
121,2,30,17.1,50,5.50,7.30,9.10,11.20,13.00,14.40,16.20,18.00,19.40,20.50,,,
121,2,30,17.1,50,6.00,7.40,9.20,11.30,13.10,14.50,16.30,18.10,19.50,22.00,,,
301,1,22,10,35,6.05,7.15,8.25,9.35,11.15,12.25,14.05,15.15,16.25,17.35,18.45,20.25,
301,1,22,10,35,6.15,7.25,8.35,9.45,11.25,12.35,14.15,15.25,16.35,17.45,19.25,20.35,
301,1,22,10,35,6.25,7.35,8.45,9.55,11.35,12.45,14.25,15.35,16.45,17.55,19.05,20.45,
301,1,22,10,35,6.35,7.45,8.55,10.05,11.45,12.55,14.35,15.45,16.55,18.05,19.45,20.55,
301,1,22,10,35,6.45,7.55,9.05,10.15,11.55,13.05,14.45,15.55,17.05,18.15,19.55,21.05,
301,1,22,10,35,6.55,8.05,9.10,10.25,12.05,13.15,14.55,16.05,17.15,18.25,20.05,21.20,22.25
301,1,22,10,35,8.10,10.40,12.40,13.45,15.05,16.20,18.20,20.50,21.55,,,,
301,2,22,10,35,5.30,6.40,7.50,9.00,10.10,11.50,13.30,14.40,15.50,17.00,18.10,19.50,
301,2,22,10,35,5.40,6.50,8.00,9.10,10.50,12.00,13.40,14.50,16.00,17.10,18.20,20.00,
301,2,22,10,35,5.50,7.00,8.10,9.20,10.30,12.10,13.50,15.00,16.10,17.20,18.30,20.10,
301,2,22,10,35,6.00,7.10,8.20,9.30,11.10,12.20,14.00,15.10,16.20,17.30,18.40,20.20,
301,2,22,10,35,6.10,7.20,8.30,9.40,10.50,12.30,14.10,15.20,16.30,17.40,18.50,20.30,
301,2,22,10,35,6.20,7.30,8.40,9.50,11.30,12.40,14.20,15.30,16.40,17.50,19.30,20.45,21.55
301,2,22,10,35,6.30,7.05,9.10,11.40,13.15,14.30,15.40,17.25,19.25,21.35,,,
304,1,22,12,40,5.50,7.10,8.30,9.50,11.40,13.00,14.40,16.00,17.20,18.40,20.30,,
304,1,22,12,40,6.00,7.20,8.40,10.00,11.50,13.10,14.50,16.10,17.30,18.50,20.40,,
304,1,22,12,40,6.10,7.30,8.50,10.10,12.00,13.20,15.00,16.20,17.40,19.00,20.50,,
304,1,22,12,40,6.20,7.40,9.00,10.20,12.10,13.30,15.10,16.30,17.50,19.10,21.00,,
304,1,22,12,40,6.30,7.50,9.10,10.30,12.20,13.40,15.20,16.40,18.00,19.20,21.10,22.35,
304,1,22,12,40,6.40,8.00,9.20,10.40,12.30,13.50,15.35,16.50,18.10,19.30,21.20,,
304,1,22,12,40,6.50,8.10,9.30,11.20,12.40,14.00,17.00,18.20,12.10,21.30,23.00,24.10,
304,1,22,12,40,7.00,8.20,9.40,11.00,12.50,14.10,15.50,17.10,18.30,19.50,21.40,,
304,2,22,12,40,6.30,7.50,9.10,10.30,12.20,13.40,15.20,16.40,18.00,19.20,21.10,,
304,2,22,12,40,6.40,8.00,9.20,10.40,12.30,13.50,15.30,16.50,18.10,19.30,21.20,22.40,
304,2,22,12,40,6.50,8.10,9.30,10.50,12.40,14.00,15.40,17.00,18.20,19.40,21.30,,
304,2,22,12,40,7.00,8.20,9.40,11.00,12.50,14.10,14.30,15.50,17.10,18.30,19.50,21.40,
304,2,22,12,40,6.40,7.10,8.30,9.50,11.10,13.00,14.20,16.00,17.20,18.40,20.00,21.50,23.10
304,2,22,12,40,7.20,8.40,10.00,11.20,13.10,14.30,16.15,17.30,18.50,20.10,22.00,,
304,2,22,12,40,7.30,8.50,10.10,12.00,13.20,14.40,17.40,19.00,20.50,22.10,23.35,24.45,
304,2,22,12,40,7.40,9.00,10.20,11.40,13.30,14.50,16.30,17.50,19.10,20.30,22.20,,
315,1,34,18,55,5.55,7.45,10.10,12.00,14.10,16.10,18.30,21.10,,,,,
315,1,34,18,55,6.15,8.15,10.35,12.25,14.25,16.35,18.55,21.35,,,,,
315,1,34,18,55,7.10,9.05,11.30,13.20,15.20,17.25,19.45,22.25,,,,,
315,1,34,18,55,7.30,9.25,11.50,13.40,15.40,17.55,20.10,22.50,23.40,,,,
315,2,34,18,55,5.10,6.45,9.15,11.05,13.00,15.05,17.20,20.00,,,,,
315,2,34,18,55,5.30,7.15,9.40,11.30,13.30,15.25,17.45,20.25,,,,,
315,2,34,18,55,6.20,8.50,10.35,12.25,14.15,16.25,18.35,21.20,,,,,
315,2,34,18,55,6.35,8.25,10.55,12.45,14.30,16.45,19.00,21.55,,,,,
320,1,50,30,85,7.20,10.40,13.30,15.50,16.20,19.50,22.50,,,,,,
320,2,50,30,85,8.45,12.05,14.55,17.50,21.20,,,,,,,,
331,1,46,22,70,6.45,8.35,11.30,14.00,16.20,19.10,21.30,,,,,,
331,1,46,22,70,7.25,12.35,14.55,17.45,20.10,,,,,,,,
331,2,46,22,70,7.25,10.20,12.40,15.10,17.30,20.20,,,,,,,
331,2,46,22,70,6.15,8.35,11.20,13.45,16.05,19.00,,,,,,,
336,1,55,33.4,100,6.15,9.30,13.15,17.35,21.00,,,,,,,,
336,1,55,33.4,100,7.55,11.45,15.10,19.15,,,,,,,,,
336,1,55,33.4,100,7.05,10.20,14.05,18.25,21.50,,,,,,,,
336,1,55,33.4,100,8.45,12.35,16.00,20.05,,,,,,,,,
336,1,55,33.4,100,7.55,11.40,15.00,19.15,,,,,,,,,
336,2,55,33.4,100,6.15,9.35,13.20,17.30,21.00,,,,,,,,
336,2,55,33.4,100,8.45,12.30,15.50,20.05,,,,,,,,,
336,2,55,33.4,100,7.05,10.25,14.10,18.20,21.50,,,,,,,,
339,1,35,24,60,7.00,9.50,12.10,3.00,5.20,8.10,,,,,,,
339,1,35,24,60,8.00,10.00,12.30,4.00,6.00,8.30,,,,,,,
339,2,35,24,60,6.00,8.10,11.00,21.00,2.00,4.10,7.00,9.20,,,,,
339,2,35,24,60,7.00,9.00,11.30,1.30,3.00,5.00,7.30,9.30,,,,,
346,1,49,28,80,7.15,10.05,13.25,16.30,20.40,,,,,,,,
346,1,49,28,80,8.35,12.05,14.50,17.50,22.10,,,,,,,,
346,2,49,28,80,5.50,8.35,12.05,15.00,18.00,22.10,,,,,,,
346,2,49,28,80,7.10,10.05,13.35,16.20,20.40,,,,,,,,
351,1,55,32,85,7.35,11.10,14.10,17.40,20.40,,,,,,,,
351,2,55,32,85,6.10,9.05,12.40,15.40,19.10,,,,,,,,
357,1,70,46.2,110,7.40,11.55,3.40,7.45,,,,,,,,,
357,1,70,46.2,110,5.50,10.00,1.50,5.30,9.15,,,,,,,,
357,1,70,46.2,110,7.55,12.10,3.50,8.00,,,,,,,,,
357,1,70,46.2,110,6.00,10.15,2.00,5.45,9.50,,,,,,,,
357,1,70,46.2,110,8.10,12.25,4.05,8.15,,,,,,,,,
357,1,70,46.2,110,6.20,10.30,2.15,6.00,,,,,,,,,
357,1,70,46.2,110,8.25,12.40,4.20,8.30,,,,,,,,,
357,1,70,46.2,110,6.35,10.45,2.30,6.15,10.05,,,,,,,,
357,1,70,46.2,110,8.40,12.55,4.35,8.45,,,,,,,,,
357,1,70,46.2,110,6.50,11.00,2.45,6.30,,,,,,,,,
357,1,70,46.2,110,9.00,1.10,4.50,9.00,,,,,,,,,
357,1,70,46.2,110,7.05,11.15,3.00,6.45,10.35,,,,,,,,
357,1,70,46.2,110,9.15,1.20,5.05,9.10,,,,,,,,,
357,1,70,46.2,110,7.15,11.30,3.15,7.00,,,,,,,,,
357,1,70,46.2,110,9.35,1.30,5.15,9.20,,,,,,,,,
357,1,70,46.2,110,7.25,11.20,3.20,7.15,,,,,,,,,
357,1,70,46.2,110,9.50,1.35,5.20,9.30,,,,,,,,,
357,1,70,46.2,110,7.30,11.40,3.30,7.30,11.05,,,,,,,,
357,2,70,46.2,110,5.50,10.00,1.50,5.30,9.20,,,,,,,,
357,2,70,46.2,110,7.40,11.55,3.40,7.45,,,,,,,,,
357,2,70,46.2,110,6.00,10.15,2.00,5.45,9.50,,,,,,,,
357,2,70,46.2,110,7.55,12.10,3.55,8.00,,,,,,,,,
357,2,70,46.2,110,6.20,10.30,2.15,6.00,9.30,,,,,,,,
357,2,70,46.2,110,8.10,12.25,4.05,8.15,,,,,,,,,
357,2,70,46.2,110,6.35,10.45,2.30,6.15,10.05,,,,,,,,
357,2,70,46.2,110,8.25,12.40,4.20,8.30,,,,,,,,,
357,2,70,46.2,110,6.50,11.00,2.45,6.30,10.00,,,,,,,,
357,2,70,46.2,110,8.40,12.55,4.35,8.45,,,,,,,,,
357,2,70,46.2,110,7.55,11.15,3.00,6.45,10.35,,,,,,,,
357,2,70,46.2,110,9.00,1.10,4.50,9.00,,,,,,,,,
357,2,70,46.2,110,7.15,11.30,3.15,7.00,10.30,,,,,,,,
357,2,70,46.2,110,9.15,1.20,5.05,9.10,,,,,,,,,
357,2,70,46.2,110,7.25,11.20,3.20,7.15,10.35,,,,,,,,
357,2,70,46.2,110,9.35,1.30,5.15,9.20,,,,,,,,,
357,2,70,46.2,110,7.30,11.40,3.30,7.30,11.05,,,,,,,,
357,2,70,46.2,110,9.50,1.35,5.20,9.30,,,,,,,,,
360,1,55,34,85,5.40,8.25,11.45,14.30,17.10,20.45,,,,,,,
360,2,55,34,85,7.00,9.55,13.05,15.50,18.45,21.55,,,,,,,
